Lunation Number,Date of occurrence,Day of Month,Time of occurrence,Time Difference,Angle of Rays,Eclipse Type 1,Gamma,Magnitude 1,Latitude,Longitude,Eclipse Duration (m)
LN-49456,2023-06,26,14:13:28,46437,17,N,-1.0981,0.8791,24S,22W,278.5362
LN-49451,2022-11,21,20:23:49,46427,-16,N,-1.1155,0.8143,15N,98W,241.8441
LN-49445,2020-05,17,05:47:36,46416,-11,P,0.8988,1.2105,13S,89E,291.90705
LN-49439,2025-11,11,05:15:58,46404,-6,P,-0.4644,2.0382,12N,113E,355.8591
LN-49433,2024-05,6,18:57:01,46392,-1,T+,0.1003,2.6513,11S,92W,334.5072
LN-49427,2023-10,31,06:54:09,46380,4,T+,0.2207,2.5057,9N,88E,387.9906
LN-49421,2021-04,25,11:57:19,46368,9,P,-0.6385,1.6562,7S,13E,299.0589
LN-49415,2024-10,19,06:00:26,46357,14,P,0.8915,1.2694,5N,101E,319.99620000000004
LN-49410,2020-03,16,18:59:06,46347,-19,N,1.2015,0.6538,10N,87W,224.84550000000002
LN-49409,2022-04,15,04:12:15,46345,19,N,-1.4029,0.2681,4S,130E,144.51675
LN-49404,2025-09,8,21:00:34,46335,-14,N,-1.2651,0.5382,13S,121W,203.38995
LN-49403,2022-10,8,10:05:04,46333,24,N,1.5232,0.0836,1N,40E,86.78369999999998
LN-49398,2020-03,6,02:07:38,46323,-9,P,0.4871,1.9933,13N,166E,360.2124
LN-49392,2024-08,29,11:25:40,46311,-4,P,-0.5326,1.8619,16S,23E,311.2896
LN-49386,2024-02,23,02:59:48,46300,1,T-,-0.2503,2.4408,16N,153E,385.2957
LN-49380,2022-08,19,03:45:11,46288,6,T+,0.1639,2.5396,19S,137E,331.8123
LN-49374,2022-02,12,04:09:50,46276,11,P,-0.9653,1.1167,18N,135E,297.91875
LN-49368,2022-08,7,17:18:34,46264,16,P,0.9154,1.1818,20S,67W,286.10265000000004
LN-49363,2025-01,2,00:22:41,46254,-17,N,1.094,0.8451,25N,171W,242.0514
LN-49357,2024-06,28,09:30:53,46243,-12,N,-1.1239,0.8298,24S,48E,270.76245
LN-49351,2025-12,22,15:38:22,46231,-7,T,0.4019,2.1044,23N,42W,319.47795
LN-49345,2025-06,17,09:59:52,46219,-2,T,-0.3722,2.2071,22S,40E,373.99784999999997
LN-49339,2023-12,12,06:49:16,46207,3,T-,-0.2724,2.3547,21N,90E,335.64734999999996
LN-49333,2023-06,6,14:31:12,46196,8,T,0.4062,2.1212,19S,28W,350.6766
LN-49327,2023-12,1,17:21:02,46184,13,Nx,-1.0024,1.0436,18N,69W,281.74935
LN-49322,2023-04,26,19:06:30,46174,-20,N,-1.3775,0.3035,9S,95W,149.28465
LN-49321,2025-05,26,02:18:15,46172,18,N,1.1372,0.753,16S,155E,230.028
LN-49316,2022-10,21,01:10:42,46162,-15,N,1.3197,0.49,6N,173E,218.31554999999997
LN-49310,2022-04,16,12:20:37,46150,-10,P,-0.6515,1.6347,4S,8E,299.36985
LN-49304,2023-10,10,01:04:52,46139,-5,P,0.626,1.7498,1N,175E,349.95105
LN-49298,2025-04,6,03:30:53,46127,0,T+,0.0913,2.6827,1N,141E,346.7379
LN-49292,2023-09,29,07:21:46,46115,5,T-,-0.099,2.6872,5S,82E,353.99340000000007
LN-49286,2022-03,26,12:28:30,46103,10,P,0.8902,1.2455,6N,8E,307.24725
LN-49280,2022-09,18,20:27:52,46092,15,P,-0.7787,1.4156,9S,114W,289.1085
LN-49275,2020-02,13,22:07:18,46082,-18,N,-1.2531,0.6009,18N,135W,237.17985
LN-49269,2020-08,9,03:11:22,46070,-13,N,1.1725,0.6924,20S,144E,220.80315
LN-49268,2023-09,7,12:31:19,46068,25,N,-1.4394,0.1994,14S,5E,122.12835000000001
LN-49263,2024-02,2,00:35:27,46058,-8,P,-0.5,1.9646,21N,172W,351.0912
LN-49257,2024-07,29,15:17:47,46047,-3,P,0.4792,1.989,22S,38W,343.2138
LN-49251,2021-01,22,10:03:40,46035,2,T+,0.2411,2.4129,23N,45E,340.82984999999996
LN-49245,2025-07,18,20:21:53,46023,7,T,-0.2744,2.388,24S,115W,377.8329
LN-49239,2020-01,12,00:54:10,46011,12,P,0.9159,1.1598,25N,179W,266.82375
LN-49233,2020-07,7,20:46:01,46000,17,Nx,-1.0219,1.0195,25S,122W,295.5348
LN-49228,2024-12,3,05:05:53,45990,-16,N,-1.1187,0.8094,18N,114E,242.0514
LN-49222,2021-05,27,12:41:51,45978,-11,P,0.9745,1.07,17S,1W,277.49969999999996
LN-49216,2022-11,21,13:37:31,45966,-6,P,-0.4654,2.0378,16N,15W,357.10290000000003
LN-49210,2020-05,17,02:13:09,45954,-1,T+,0.177,2.5092,14S,156E,332.01959999999997
LN-49204,2024-11,10,14:56:40,45943,4,T+,0.2178,2.5117,13N,35W,388.61249999999995
LN-49198,2025-05,6,19:21:07,45931,9,P,-0.5647,1.7917,11S,101W,305.89979999999997
LN-49192,2021-10,30,14:05:11,45919,14,P,0.8853,1.2804,9N,22W,320.30715000000004
LN-49187,2025-03,28,02:15:29,45909,-19,N,1.2691,0.5303,5N,161E,205.67025
LN-49186,2023-04,26,11:26:40,45907,19,N,-1.3358,0.3921,8S,19E,173.33145000000002
LN-49181,2022-09,20,05:17:52,45898,-14,N,-1.2801,0.5107,9S,113E,198.10379999999998
LN-49180,2022-10,19,18:28:40,45896,24,N,1.5134,0.1009,5N,88W,94.86839999999998
LN-49175,2020-03,16,09:04:23,45886,-9,P,0.5519,1.8742,9N,59E,355.6518
LN-49169,2023-09,8,19:47:02,45874,-4,P,-0.5579999999999999,1.8162,13S,105W,309.11295
LN-49163,2021-03,5,09:52:15,45863,1,T-,-0.1908,2.5483,12N,48E,386.85045
LN-49157,2022-08,29,11:55:30,45851,6,T+,0.1314,2.6018,15S,13E,333.4707
LN-49151,2020-02,22,11:25:58,45839,11,P,-0.9146,1.2066,15N,24E,305.27790000000005
LN-49145,2021-08,19,01:01:49,45827,16,P,0.8775,1.2546,18S,176E,293.77275
LN-49140,2020-01,13,08:47:38,45818,-17,N,1.1079,0.8169,25N,62E,237.80175
LN-49134,2025-07,9,16:06:48,45806,-12,N,-1.1976,0.6966,25S,52W,252.00179999999997
LN-49128,2022-01,3,00:18:02,45794,-7,T,0.4132,2.0826,24N,172W,318.64875
LN-49122,2025-06,27,16:31:27,45782,-2,P,-0.4505,2.0636,24S,59W,368.19345000000004
LN-49116,2021-12,22,15:28:24,45771,3,T-,-0.2679,2.3631,23N,41W,336.68385
LN-49110,2025-06,16,21:23:00,45759,8,T,0.3272,2.2651,22S,133W,353.68245
LN-49104,2022-12,12,01:44:10,45747,13,Nx,-1.0035,1.0424,21N,164E,282.57854999999995
LN-49099,2023-05,8,02:26:38,45737,-20,N,-1.4473,0.1743,13S,152E,114.25094999999999
LN-49098,2023-06,6,09:32:50,45736,18,N,1.0603,0.8931,19S,45E,246.09375
LN-49093,2025-11,1,09:10:02,45726,-15,N,1.3233,0.4841,10N,51E,217.1754
LN-49087,2025-04,27,19:44:29,45714,-10,P,-0.7248,1.5004,8S,106W,292.01070000000004
LN-49081,2021-10,21,09:12:41,45702,-5,P,0.6298,1.7423,5N,51E,348.6036
LN-49075,2022-04,16,10:42:21,45691,0,T+,0.0198,2.8146,3S,30E,348.6036
LN-49069,2020-10,9,15:47:22,45679,5,T-,-0.0907,2.7019,0S,47W,352.9569
LN-49063,2020-04,5,19:16:42,45667,10,P,0.8205,1.3738,1N,97W,319.06335
LN-49057,2021-09,29,05:02:47,45655,15,P,-0.7646,1.442,5S,115E,290.45595000000003
LN-49052,2020-02,24,05:09:10,45646,-18,N,-1.3026,0.5076,14N,118E,219.4557
LN-49046,2025-08,20,11:10:02,45634,-13,N,1.213,0.621,17S,23E,211.37099999999998
LN-49045,2023-09,18,20:59:01,45632,25,N,-1.4224,0.2325,10S,124W,131.66415
LN-49040,2024-02,13,08:08:41,45622,-8,P,-0.5373,1.8928,18N,73E,346.116
LN-49034,2023-08,9,22:45:19,45611,-3,P,0.5294,1.9003,20S,151W,341.1408
LN-49028,2022-02,2,18:10:18,45599,2,T+,0.2119,2.4635,21N,78W,340.20795
LN-49022,2021-07,29,03:15:13,45587,7,T-,-0.2132,2.503,23S,141E,381.5643
LN-49016,2022-01,22,09:20:50,45576,12,P,0.8943,1.1977,24N,53E,269.72595
LN-49010,2021-07,18,03:25:58,45564,17,P,-0.9513,1.1501,25S,137E,309.32025
LN-49005,2021-12,13,13:43:39,45554,-16,N,-1.1247,0.7992,21N,16W,241.4295
LN-48999,2021-06,7,19:40:04,45542,-11,N,1.0474,0.9348,19S,108W,261.9522
LN-48993,2021-12,2,21:54:58,45531,-6,P,-0.4687,2.0328,19N,140W,358.03575
LN-48987,2024-05,28,09:31:42,45519,-1,T+,0.2521,2.3705,17S,44E,328.80645000000004
LN-48981,2022-11,21,22:58:46,45507,4,T+,0.2154,2.5164,16N,157W,389.0271
LN-48975,2024-05,17,02:43:37,45496,9,P,-0.4899,1.9292,15S,146E,312.01515000000006
LN-48969,2022-11,9,22:13:21,45484,14,P,0.8815,1.2866,13N,146W,320.20349999999996
LN-48964,2021-04,7,09:23:16,45474,-19,N,1.3423,0.3967,1N,51E,180.8979
LN-48963,2022-05,6,18:36:13,45472,19,N,-1.2657,0.522,12S,92W,198.3111
